Scenario_ID,Model,Scenario,Region,Variable,Unit,Year,Value
AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,Asia,Secondary Energy|Electricity,EJ/yr,2005,15.8804
AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,Asia,Secondary Energy|Electricity|Gas,EJ/yr,2005,1.8089
AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,Russia and Central Asia,Secondary Energy|Electricity,EJ/yr,2005,4.8156
AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,Russia and Central Asia,Secondary Energy|Electricity|Gas,EJ/yr,2005,2.047
AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,Middle East and Africa,Secondary Energy|Electricity,EJ/yr,2005,4.0669
AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,Middle East and Africa,Secondary Energy|Electricity|Gas,EJ/yr,2005,1.6659
AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,Latin America,Secondary Energy|Electricity,EJ/yr,2005,4.1177
AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,Latin America,Secondary Energy|Electricity|Gas,EJ/yr,2005,0.8113
AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,OECD Countries,Secondary Energy|Electricity,EJ/yr,2005,36.1476
AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,OECD Countries,Secondary Energy|Electricity|Gas,EJ/yr,2005,7.0103
AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,World,Secondary Energy|Electricity,EJ/yr,2005,65.0282
AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,World,Secondary Energy|Electricity|Gas,EJ/yr,2005,13.3435
GCAM 4.2 - SSP1-19,GCAM 4.2,SSP1-19,World,Secondary Energy|Electricity,EJ/yr,2005,67.0643077553694
GCAM 4.2 - SSP1-19,GCAM 4.2,SSP1-19,World,Secondary Energy|Electricity|Gas,EJ/yr,2005,14.4748824454794
GCAM 5.3 - R_MAC_30_n0,GCAM 5.3,R_MAC_30_n0,Asia,Secondary Energy|Electricity,EJ/yr,2005,16.84472912088
GCAM 5.3 - R_MAC_30_n0,GCAM 5.3,R_MAC_30_n0,Asia,Secondary Energy|Electricity|Gas,EJ/yr,2005,2.0657704
GCAM 5.3 - R_MAC_30_n0,GCAM 5.3,R_MAC_30_n0,Russia and Central Asia,Secondary Energy|Electricity,EJ/yr,2005,5.61838129547
GCAM 5.3 - R_MAC_30_n0,GCAM 5.3,R_MAC_30_n0,Russia and Central Asia,Secondary Energy|Electricity|Gas,EJ/yr,2005,1.853206
GCAM 5.3 - R_MAC_30_n0,GCAM 5.3,R_MAC_30_n0,Middle East and Africa,Secondary Energy|Electricity,EJ/yr,2005,4.34074877692
GCAM 5.3 - R_MAC_30_n0,GCAM 5.3,R_MAC_30_n0,Middle East and Africa,Secondary Energy|Electricity|Gas,EJ/yr,2005,1.93945898999999
GCAM 5.3 - R_MAC_30_n0,GCAM 5.3,R_MAC_30_n0,Latin America,Secondary Energy|Electricity,EJ/yr,2005,4.141064944
GCAM 5.3 - R_MAC_30_n0,GCAM 5.3,R_MAC_30_n0,Latin America,Secondary Energy|Electricity|Gas,EJ/yr,2005,0.7911937
GCAM 5.3 - R_MAC_30_n0,GCAM 5.3,R_MAC_30_n0,OECD Countries,Secondary Energy|Electricity,EJ/yr,2005,33.11714975789
GCAM 5.3 - R_MAC_30_n0,GCAM 5.3,R_MAC_30_n0,OECD Countries,Secondary Energy|Electricity|Gas,EJ/yr,2005,5.91340195
GCAM 5.3 - R_MAC_30_n0,GCAM 5.3,R_MAC_30_n0,World,Secondary Energy|Electricity,EJ/yr,2005,64.06207389516
GCAM 5.3 - R_MAC_30_n0,GCAM 5.3,R_MAC_30_n0,World,Secondary Energy|Electricity|Gas,EJ/yr,2005,12.56303104
GCAM 5.3 - R_MAC_35_n8,GCAM 5.3,R_MAC_35_n8,Asia,Secondary Energy|Electricity,EJ/yr,2005,16.84472912088
GCAM 5.3 - R_MAC_35_n8,GCAM 5.3,R_MAC_35_n8,Asia,Secondary Energy|Electricity|Gas,EJ/yr,2005,2.0657704
