Scenario_ID
COFFEE 1.1 - EN_NPi2020_400
GCAM 4.2 - SSP1-19
MESSAGE-GLOBIOM 1.0 - ADVANCE_2020_1.5C-2100
MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_cost100
MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_full
MESSAGE-GLOBIOM 1.0 - SSP2-19
MESSAGEix-GLOBIOM 1.0 - CD-LINKS_NPi2020_400
MESSAGEix-GLOBIOM_1.1 - EN_NPi2020_450
MESSAGEix-GLOBIOM_1.1 - EN_NPi2020_500
MESSAGEix-GLOBIOM_1.1 - EN_NPi2020_600_COV
MESSAGEix-GLOBIOM_1.1 - EN_NPi2020_600_DR1p
MESSAGEix-GLOBIOM_1.1 - EN_NPi2020_600_DR2p
MESSAGEix-GLOBIOM_1.1 - EN_NPi2020_600_DR3p
MESSAGEix-GLOBIOM_1.1 - EN_NPi2020_600_DR4p
MESSAGEix-GLOBIOM_1.1 - NGFS2_Divergent Net Zero Policies
MESSAGEix-GLOBIOM_1.1 - NGFS2_Net-Zero 2050
POLES EMF33 - EMF33_WB2C_cost100
POLES EMF33 - EMF33_WB2C_full
POLES EMF33 - EMF33_WB2C_nofuel
REMIND 1.7 - ADVANCE_2020_1.5C-2100
REMIND 1.7 - CEMICS-1.5-CDR12
REMIND 1.7 - CEMICS-1.5-CDR20
REMIND 1.7 - CEMICS-1.5-CDR8
REMIND 1.7 - CEMICS-2.0-CDR8
REMIND 2.1 - CEMICS_GDPgrowth_1p5
REMIND 2.1 - CEMICS_HotellingConst_1p5
REMIND 2.1 - CEMICS_Linear_1p5
REMIND 2.1 - CEMICS_opt_1p5
REMIND 2.1 - LeastTotalCost_LTC_brkLR15_SSP1_P50
REMIND 2.1 - R2p1_SSP1-PkBudg900
REMIND 2.1 - R2p1_SSP2-PkBudg900
REMIND 2.1 - R2p1_SSP5-PkBudg900
REMIND-MAgPIE 1.5 - SSP2-19
REMIND-MAgPIE 1.7-3.0 - CD-LINKS_NPi2020_400
REMIND-MAgPIE 1.7-3.0 - EMF33_1.5C_nofuel
REMIND-MAgPIE 1.7-3.0 - PEP_1p5C_full_eff
REMIND-MAgPIE 1.7-3.0 - PEP_1p5C_red_eff
REMIND-MAgPIE 1.7-3.0 - PEP_2C_red_eff
REMIND-MAgPIE 1.7-3.0 - SMP_2C_lifesty
REMIND-MAgPIE 2.1-4.2 - CEMICS_SSP1-1p5C-fullCDR
REMIND-MAgPIE 2.1-4.2 - CEMICS_SSP1-1p5C-minCDR
REMIND-MAgPIE 2.1-4.2 - CEMICS_SSP2-1p5C-fullCDR
REMIND-MAgPIE 2.1-4.2 - CEMICS_SSP2-1p5C-minCDR
REMIND-MAgPIE 2.1-4.2 - EN_NPi2020_200f
REMIND-MAgPIE 2.1-4.2 - EN_NPi2020_300f
REMIND-MAgPIE 2.1-4.2 - EN_NPi2020_400
REMIND-MAgPIE 2.1-4.2 - EN_NPi2020_400f
REMIND-MAgPIE 2.1-4.2 - EN_NPi2020_500
REMIND-MAgPIE 2.1-4.2 - EN_NPi2020_600
REMIND-MAgPIE 2.1-4.2 - EN_NPi2020_600_COV
REMIND-MAgPIE 2.1-4.2 - EN_NPi2020_600f_COV
REMIND-MAgPIE 2.1-4.2 - NGFS2_Divergent Net Zero Policies
REMIND-MAgPIE 2.1-4.2 - NGFS2_Net-Zero 2050
REMIND-MAgPIE 2.1-4.2 - NGFS2_Net-Zero 2050 - IPD-95th
REMIND-MAgPIE 2.1-4.2 - NGFS2_Net-Zero 2050 - IPD-median
REMIND-MAgPIE 2.1-4.2 - SusDev_SDP-PkBudg1000
REMIND-MAgPIE 2.1-4.2 - SusDev_SSP1-PkBudg900
REMIND-MAgPIE 2.1-4.2 - SusDev_SSP2-PkBudg900
REMIND-MAgPIE 2.1-4.3 - DeepElec_SSP2_ HighRE_Budg900
REMIND-MAgPIE 2.1-4.3 - DeepElec_SSP2_def_Budg900
WITCH-GLOBIOM 3.1 - SSP1-19
WITCH-GLOBIOM 3.1 - SSP4-19
WITCH-GLOBIOM 4.4 - CD-LINKS_NPi2020_1000
WITCH-GLOBIOM 4.4 - CD-LINKS_NPi2020_400
