Year,Scenario_ID,Model,Scenario,Region,Variable,Unit,Value,Variable_clean,Variable_standardized
2010,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,Asia,Secondary Energy|Electricity,EJ/yr,20.8608,secondary energy|electricity,Electricity
2015,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,Asia,Secondary Energy|Electricity,EJ/yr,26.4537,secondary energy|electricity,Electricity
2020,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,Asia,Secondary Energy|Electricity,EJ/yr,33.8697,secondary energy|electricity,Electricity
2025,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,Asia,Secondary Energy|Electricity,EJ/yr,39.6228,secondary energy|electricity,Electricity
2030,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,Asia,Secondary Energy|Electricity,EJ/yr,52.4567,secondary energy|electricity,Electricity
2035,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,Asia,Secondary Energy|Electricity,EJ/yr,67.607,secondary energy|electricity,Electricity
2040,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,Asia,Secondary Energy|Electricity,EJ/yr,76.1197,secondary energy|electricity,Electricity
2045,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,Asia,Secondary Energy|Electricity,EJ/yr,88.2775,secondary energy|electricity,Electricity
2050,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,Asia,Secondary Energy|Electricity,EJ/yr,98.6648,secondary energy|electricity,Electricity
2055,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,Asia,Secondary Energy|Electricity,EJ/yr,105.2924,secondary energy|electricity,Electricity
2060,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,Asia,Secondary Energy|Electricity,EJ/yr,109.2751,secondary energy|electricity,Electricity
2065,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,Asia,Secondary Energy|Electricity,EJ/yr,111.691,secondary energy|electricity,Electricity
2070,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,Asia,Secondary Energy|Electricity,EJ/yr,113.5402,secondary energy|electricity,Electricity
2075,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,Asia,Secondary Energy|Electricity,EJ/yr,115.7894,secondary energy|electricity,Electricity
2080,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,Asia,Secondary Energy|Electricity,EJ/yr,119.9253,secondary energy|electricity,Electricity
2085,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,Asia,Secondary Energy|Electricity,EJ/yr,122.6592,secondary energy|electricity,Electricity
2090,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,Asia,Secondary Energy|Electricity,EJ/yr,123.7541,secondary energy|electricity,Electricity
2095,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,Asia,Secondary Energy|Electricity,EJ/yr,124.64,secondary energy|electricity,Electricity
2100,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,Asia,Secondary Energy|Electricity,EJ/yr,127.9623,secondary energy|electricity,Electricity
2010,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,Latin America,Secondary Energy|Electricity,EJ/yr,4.79,secondary energy|electricity,Electricity
2015,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,Latin America,Secondary Energy|Electricity,EJ/yr,5.5155,secondary energy|electricity,Electricity
2020,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,Latin America,Secondary Energy|Electricity,EJ/yr,6.2809,secondary energy|electricity,Electricity
2025,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,Latin America,Secondary Energy|Electricity,EJ/yr,7.3972,secondary energy|electricity,Electricity
2030,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,Latin America,Secondary Energy|Electricity,EJ/yr,9.0179,secondary energy|electricity,Electricity
2035,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,Latin America,Secondary Energy|Electricity,EJ/yr,11.8407,secondary energy|electricity,Electricity
2040,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,Latin America,Secondary Energy|Electricity,EJ/yr,14.8229,secondary energy|electricity,Electricity
2045,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,Latin America,Secondary Energy|Electricity,EJ/yr,17.5772,secondary energy|electricity,Electricity
2050,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,Latin America,Secondary Energy|Electricity,EJ/yr,20.1747,secondary energy|electricity,Electricity
2055,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,Latin America,Secondary Energy|Electricity,EJ/yr,22.4153,secondary energy|electricity,Electricity
2060,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,Latin America,Secondary Energy|Electricity,EJ/yr,23.7857,secondary energy|electricity,Electricity
2065,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,Latin America,Secondary Energy|Electricity,EJ/yr,24.6367,secondary energy|electricity,Electricity
2070,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,Latin America,Secondary Energy|Electricity,EJ/yr,25.48,secondary energy|electricity,Electricity
2075,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,Latin America,Secondary Energy|Electricity,EJ/yr,26.4242,secondary energy|electricity,Electricity
2080,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,Latin America,Secondary Energy|Electricity,EJ/yr,27.686,secondary energy|electricity,Electricity
2085,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,Latin America,Secondary Energy|Electricity,EJ/yr,28.5624,secondary energy|electricity,Electricity
2090,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,Latin America,Secondary Energy|Electricity,EJ/yr,29.1844,secondary energy|electricity,Electricity
2095,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,Latin America,Secondary Energy|Electricity,EJ/yr,29.915,secondary energy|electricity,Electricity
2100,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,Latin America,Secondary Energy|Electricity,EJ/yr,31.3239,secondary energy|electricity,Electricity
2010,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,Middle East and Africa,Secondary Energy|Electricity,EJ/yr,5.1071,secondary energy|electricity,Electricity
2015,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,Middle East and Africa,Secondary Energy|Electricity,EJ/yr,6.1054,secondary energy|electricity,Electricity
2020,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,Middle East and Africa,Secondary Energy|Electricity,EJ/yr,6.8996,secondary energy|electricity,Electricity
2025,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,Middle East and Africa,Secondary Energy|Electricity,EJ/yr,7.4987,secondary energy|electricity,Electricity
2030,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,Middle East and Africa,Secondary Energy|Electricity,EJ/yr,8.5678,secondary energy|electricity,Electricity
2035,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,Middle East and Africa,Secondary Energy|Electricity,EJ/yr,13.2559,secondary energy|electricity,Electricity
2040,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,Middle East and Africa,Secondary Energy|Electricity,EJ/yr,20.112,secondary energy|electricity,Electricity
2045,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,Middle East and Africa,Secondary Energy|Electricity,EJ/yr,29.0148,secondary energy|electricity,Electricity
2050,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,Middle East and Africa,Secondary Energy|Electricity,EJ/yr,38.5272,secondary energy|electricity,Electricity
2055,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,Middle East and Africa,Secondary Energy|Electricity,EJ/yr,45.3917,secondary energy|electricity,Electricity
2060,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,Middle East and Africa,Secondary Energy|Electricity,EJ/yr,51.0274,secondary energy|electricity,Electricity
2065,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,Middle East and Africa,Secondary Energy|Electricity,EJ/yr,54.7651,secondary energy|electricity,Electricity
2070,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,Middle East and Africa,Secondary Energy|Electricity,EJ/yr,58.5743,secondary energy|electricity,Electricity
2075,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,Middle East and Africa,Secondary Energy|Electricity,EJ/yr,63.0957,secondary energy|electricity,Electricity
2080,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,Middle East and Africa,Secondary Energy|Electricity,EJ/yr,69.5844,secondary energy|electricity,Electricity
2085,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,Middle East and Africa,Secondary Energy|Electricity,EJ/yr,75.3081,secondary energy|electricity,Electricity
2090,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,Middle East and Africa,Secondary Energy|Electricity,EJ/yr,79.9242,secondary energy|electricity,Electricity
