Country Name,ISO_A3,ESS Index
Aruba,ABW,2.95
Afghanistan,AFG,9.03
Angola,AGO,6.63
Albania,ALB,3.98
Andorra,AND,2.12
United Arab Emirates,ARE,4.03
Argentina,ARG,4.17
Armenia,ARM,5.11
American Samoa,ASM,3.46
Antigua and Barbuda,ATG,4.81
Australia,AUS,2.67
Austria,AUT,2.25
Azerbaijan,AZE,5.90
Burundi,BDI,7.88
Belgium,BEL,3.23
Benin,BEN,4.55
Burkina Faso,BFA,7.93
Bangladesh,BGD,6.87
Bulgaria,BGR,3.50
Bahrain,BHR,6.00
"Bahamas, The",BHS,4.53
Bosnia and Herzegovina,BIH,4.69
Belarus,BLR,5.80
Belize,BLZ,7.32
Bermuda,BMU,3.98
Bolivia,BOL,5.62
Brazil,BRA,6.10
Barbados,BRB,4.28
Brunei Darussalam,BRN,3.31
Bhutan,BTN,3.77
Botswana,BWA,3.44
Central African Republic,CAF,8.99
Canada,CAN,2.95
Switzerland,CHE,2.03
Channel Islands,CHI,3.32
Chile,CHL,3.88
China,CHN,5.94
"Cote d'Ivoire",CIV,6.04
Cameroon,CMR,8.14
"Congo, Dem. Rep.",COD,8.77
"Congo, Rep.",COG,6.63
Colombia,COL,7.19
Comoros,COM,6.92
Cabo Verde,CPV,5.01
Costa Rica,CRI,3.56
Cuba,CUB,5.29
Curacao,CUW,4.46
Cayman Islands,CYM,3.38
Cyprus,CYP,3.84
Czech Republic,CZE,2.28
Germany,DEU,3.27
Djibouti,DJI,5.11
Dominica,DMA,4.14
Denmark,DNK,2.45
Dominican Republic,DOM,5.36
Algeria,DZA,5.99
Ecuador,ECU,5.20
"Egypt, Arab Rep.",EGY,7.48
Eritrea,ERI,7.81
Spain,ESP,3.46
Estonia,EST,2.35
Ethiopia,ETH,8.07
Finland,FIN,2.58
Fiji,FJI,5.41
France,FRA,3.99
"Micronesia, Fed. Sts.",FSM,4.47
Gabon,GAB,5.51
United Kingdom,GBR,3.88
Georgia,GEO,4.63
Ghana,GHA,4.19
Gibraltar,GIB,4.14
Guinea,GIN,5.74
"Gambia, The",GMB,6.18
Guinea-Bissau,GNB,6.68
Equatorial Guinea,GNQ,6.64
Greece,GRC,4.79
Grenada,GRD,4.81
Greenland,GRL,3.04
Guatemala,GTM,6.41
Guam,GUM,3.44
Guyana,GUY,5.93
Hong Kong SAR, China,HKG,3.72
Honduras,HND,6.63
Croatia,HRV,3.10
Haiti,HTI,6.98
Hungary,HUN,2.96
Indonesia,IDN,5.65
Isle of Man,IMN,3.32
India,IND,6.64
Ireland,IRL,2.91
"Iran, Islamic Rep.",IRN,7.27
Iraq,IRQ,8.29
Iceland,ISL,1.99
Israel,ISR,5.64
Italy,ITA,4.15
Jamaica,JAM,5.09
Jordan,JOR,5.47
Japan,JPN,2.67
Kazakhstan,KAZ,4.66
Kenya,KEN,7.44
Kyrgyz Republic,KGZ,5.62
Cambodia,KHM,6.54
Kiribati,KIR,3.02
St. Kitts and Nevis,KNA,4.55
"Korea, Rep.",KOR,2.88
Kuwait,KWT,4.09
Lao PDR,LAO,4.73
Lebanon,LBN,7.03
Liberia,LBR,5.50
Libya,LBY,9.45
St. Lucia,LCA,4.52
Liechtenstein,LIE,2.11
Sri Lanka,LKA,6.20
Lesotho,LSO,5.99
Lithuania,LTU,2.78
Luxembourg,LUX,1.85
Latvia,LVA,2.79
Macao SAR, China,MAC,2.66
St. Martin (French part),MAF,7.08
Morocco,MAR,5.25
Monaco,MCO,2.12
Moldova,MDA,4.75
Madagascar,MDG,5.61
Maldives,MDV,5.44
Mexico,MEX,7.32
Marshall Islands,MHL,2.13
North Macedonia,MKD,3.81
Mali,MLI,8.76
Malta,MLT,2.66
Myanmar,MMR,8.24
Montenegro,MNE,3.89
Mongolia,MNG,3.64
Mozambique,MOZ,7.04
Mauritania,MRT,6.37
Mauritius,MUS,2.41
Malawi,MWI,4.99
Malaysia,MYS,4.28
Namibia,NAM,4.44
Niger,NER,7.28
Nigeria,NGA,8.11
Nicaragua,NIC,6.42
Netherlands,NLD,2.77
Norway,NOR,2.33
Nepal,NPL,5.96
Nauru,NRU,4.05
New Zealand,NZL,2.87
Oman,OMN,4.35
Pakistan,PAK,8.18
Panama,PAN,4.09
Peru,PER,5.30
Philippines,PHL,7.86
Palau,PLW,2.13
Papua New Guinea,PNG,5.85
Poland,POL,2.75
"Korea, Dem. People’s Rep.",PRK,7.85
Portugal,PRT,2.18
Paraguay,PRY,5.37
West Bank and Gaza,PSX,8.45
Qatar,QAT,3.69
Romania,ROU,3.09
Russia,RUS,7.36
Rwanda,RWA,6.10
Saudi Arabia,SAU,6.57
Sudan,SDN,8.40
Senegal,SEN,4.40
Singapore,SGP,2.48
Solomon Islands,SLB,5.81
