Country Name,ISO_A3,ESS Index,1. Risk,2. Labor,3. Resources,4. Health,5. Land,6. Biodiversity,7. Inclusion,8. Heritage,9. Climate,10. Engagement
Aruba,ABW,4.64,3,4.7,,,4.3,8.2,4.1,,4.1,4.1
Afghanistan,AFG,8.15,9,9.2,8.4,7.4,9.1,8,7.8,7.2,7.7,7.7
Angola,AGO,7.08,6.6,8.3,7.8,7.3,7.3,7.2,6.7,5.8,6.9,6.9
Albania,ALB,4.86,4,4.9,4.9,4.7,5,5.2,4,3.9,6,6
Andorra,AND,3.29,2.1,1.6,,4.5,2.9,7.8,4.1,1.2,2.7,2.7
United Arab Emirates,ARE,4.14,4,4.4,5,3.4,4.1,4.4,3.5,2.2,5.2,5.2
Argentina,ARG,4.90,4.2,4.2,5,5.6,5,5.1,5.6,2.5,5.9,5.9
Armenia,ARM,5.19,5.1,4,5.9,5.5,4.1,4.5,5.1,4.7,6.5,6.5
American Samoa,ASM,4.88,3.5,,,3.5,5.8,6.7,,,,
Antigua and Barbuda,ATG,5.11,4.8,4.4,3.2,3.5,4.9,6.4,6,8.9,4.5,4.5
Australia,AUS,3.24,2.7,1.8,4,4.5,2.9,3.1,1.9,2.7,4.4,4.4
Austria,AUT,2.69,2.3,2,3.8,4.1,2.6,3.4,2.6,1.7,2.2,2.2
Azerbaijan,AZE,6.00,5.9,6.3,5.6,5.7,5.5,4.4,5.5,6.5,7.3,7.3
Burundi,BDI,7.35,7.9,8.6,8.8,6.7,7.8,6.8,6.9,5.2,7.4,7.4
Belgium,BEL,3.02,3.2,2.3,3.2,3.6,2.9,5.1,2.9,2,2.5,2.5
Benin,BEN,6.12,4.6,5.9,6.3,6,6.5,5.9,5.9,7.9,6.1,6.1
Burkina Faso,BFA,7.12,7.9,7,9.7,7.7,5.8,6.5,7.3,7.1,6.1,6.1
Bangladesh,BGD,7.59,6.9,7.4,7.9,8.4,7.8,8.1,7.6,7.4,7.2,7.2
Bulgaria,BGR,4.36,3.5,3.8,4.4,4.5,4.2,4,3.9,3.7,5.8,5.8
Bahrain,BHR,6.16,6,5.7,7.9,3.2,4.7,5.4,6.6,6.7,7.7,7.7
"Bahamas, The",BHS,5.57,4.5,5.5,4.9,5.5,5.7,6.7,4.9,8.6,4.7,4.7
Bosnia and Herzegovina,BIH,5.13,4.7,5.4,7,5.2,6.1,4.8,4.2,5.1,4.4,4.4
Belarus,BLR,5.60,5.8,5.8,7.4,3.8,4.4,3.7,5.3,2.2,8.8,8.8
Belize,BLZ,5.84,7.3,6.4,3.5,4.5,6.2,6.6,6.4,7.3,5.1,5.1
Bermuda,BMU,6.88,4,4.9,,10,7.1,8.4,,,,
Bolivia,BOL,5.77,5.6,6.4,7.1,6.3,5.3,5.8,5.6,2.8,6.4,6.4
Brazil,BRA,6.47,6.1,5.4,6.1,5.3,5,5.9,7.3,7,8.3,8.3
Barbados,BRB,5.48,4.3,4.5,4.2,3.5,6,5.9,4.5,6.1,7.9,7.9
Brunei Darussalam,BRN,5.54,3.3,4.2,8.8,2.6,3.7,5.8,5.2,9.2,6.3,6.3
Bhutan,BTN,4.79,3.8,3.6,5.3,5.1,5.1,4.7,4.4,7.7,4.1,4.1
Botswana,BWA,4.96,3.4,4.1,6.9,5.7,4.7,5,4.3,7.9,3.8,3.8
Central African Republic,CAF,8.12,9,9,9.3,8.1,7.2,6.8,7.4,9,7.7,7.7
Canada,CAN,3.35,3,2.2,4.3,3.7,3.7,2.6,1.9,2.7,4.7,4.7
Switzerland,CHE,2.85,2,2.2,4.2,3.6,3.2,4.1,2.7,1.5,2.5,2.5
Channel Islands,CHI,4.20,3.3,,,3.5,,5.8,,,,
Chile,CHL,4.45,3.9,2.5,4.2,4.1,4.7,4.6,5,4.9,5.3,5.3
China,CHN,6.00,5.9,6.5,6.5,5,6.2,4.5,5.9,5.1,7.2,7.2
Cote d'Ivoire,CIV,6.94,6,6.9,7,6.7,6.4,6.5,7.8,8.3,6.9,6.9
Cameroon,CMR,7.16,8.1,8.3,7.5,7.5,6.1,7,6.9,5.6,7.3,7.3
"Congo, Dem. Rep.",COD,8.09,8.8,9.3,8.9,6.8,7.5,7.5,8,9.1,7.5,7.5
"Congo, Rep.",COG,7.36,6.6,8.5,7.4,8,6.1,7.4,7.1,8.9,6.8,6.8
Colombia,COL,6.68,7.2,5.2,7.1,6.1,5.3,5.2,6.4,7.1,8.6,8.6
Comoros,COM,7.05,6.9,7.9,6.8,7.4,6.6,6.5,7.4,6.4,7.3,7.3
Cabo Verde,CPV,4.84,5,4.2,4.6,4.9,7,5.6,5.1,4.8,3.6,3.6
Costa Rica,CRI,3.93,3.6,3.1,3.9,4.3,4.9,4.2,3.6,2.3,4.7,4.7
Cuba,CUB,5.05,5.3,6.3,5.3,3.8,5.9,5.7,4,1,6.6,6.6
Curacao,CUW,4.73,4.5,,,3.5,5.9,6.6,4.2,,4.2,4.2
Cayman Islands,CYM,4.63,3.4,3.9,,3.5,5.5,8.4,4.1,,4.1,4.1
Cyprus,CYP,4.18,3.8,3.6,5,5,3.9,4.7,3.9,4.7,3.6,3.6
Czech Republic,CZE,3.07,2.3,2.6,4.2,3.2,2.9,3.3,2.8,4.2,2.6,2.6
Germany,DEU,3.56,3.3,2,3.2,4.1,2.7,4,3.9,2.6,4.9,4.9
Djibouti,DJI,6.91,5.1,7.6,7.4,8.3,7.5,6.6,5.5,6.7,7.2,7.2
Dominica,DMA,4.58,4.1,4.4,3.9,3.8,6.1,6.7,5.7,2.5,4.3,4.3
Denmark,DNK,2.45,2.5,1.7,2.9,3.4,2.8,2.5,2.6,1.7,2.2,2.2
Dominican Republic,DOM,5.46,5.4,5.8,5.7,4.9,5.7,5.6,5.6,4.7,5.6,5.6
Algeria,DZA,6.60,6,6.6,7.1,5.3,6.4,6.7,7,6.7,7.1,7.1
Ecuador,ECU,5.23,5.2,5.2,6.7,5.4,5.1,5.8,5.2,2.5,5.6,5.6
"Egypt, Arab Rep.",EGY,6.97,7.5,6.9,8.6,5.8,5.9,7.5,6.8,7.5,6.6,6.6
Eritrea,ERI,7.64,7.8,8.5,9,6.1,7.2,7.4,6.6,,8.1,8.1
Spain,ESP,3.65,3.5,2.4,3.8,3.6,3.2,4.3,3.9,1.6,5.1,5.1
Estonia,EST,2.53,2.4,1.9,3.1,2.8,2.9,2.5,2.6,2.9,2.1,2.1
Ethiopia,ETH,7.09,8.1,7.7,7.8,7.4,6.7,7.4,7.2,4.4,7.1,7.1
Finland,FIN,2.43,2.6,1.7,2.6,3.2,2.7,2.8,2.8,1.5,2.2,2.2
Fiji,FJI,5.98,5.4,4.9,7.7,4.6,6.4,4.8,6.5,6.1,6.7,6.7
France,FRA,3.75,4,2.2,3.4,3.9,3,4.2,4.5,1.9,5.2,5.2
"Micronesia, Fed. Sts.",FSM,6.25,4.5,4.4,9.5,3.9,7.3,7,6.2,7.7,6,6
Gabon,GAB,6.69,5.5,8.1,7.1,5,5.5,7,5.8,8.3,7.3,7.3
United Kingdom,GBR,3.61,3.9,2,4.1,3.6,2.7,4.1,3.5,2.2,5,5
Georgia,GEO,5.25,4.6,3.7,5.3,5.4,5.8,4.4,5.6,5.9,5.9,5.9
Ghana,GHA,5.50,4.2,4.7,5.7,5.7,6,5.4,5,7.1,5.6,5.6
Gibraltar,GIB,5.80,4.1,,,10,,8.4,4.1,,4.1,4.1
Guinea,GIN,6.98,5.7,7.3,7.8,6.3,6.3,6.8,6.9,7.9,7.4,7.4
"Gambia, The",GMB,6.70,6.2,6.7,7.3,6.1,7.7,6.4,6.7,7.3,6.3,6.3
Guinea-Bissau,GNB,6.92,6.7,7.4,6.7,6.5,5.9,7.3,6.7,8.4,6.8,6.8
Equatorial Guinea,GNQ,7.23,6.6,8.4,7.1,6.8,5.5,7,6.5,7.6,8.4,8.4
Greece,GRC,4.91,4.8,4,6.1,4.6,3.8,6,3.8,4.8,5.6,5.6
Grenada,GRD,4.23,4.8,4.1,2.2,3.6,5.8,6.7,5.1,1.2,4.4,4.4
Greenland,GRL,3.79,3,4.7,,3.5,3,,4.1,,4.1,4.1
Guatemala,GTM,7.10,6.4,7.3,7.8,6.5,7.3,6.4,6.2,5.9,8.6,8.6
Guam,GUM,4.88,3.4,4.3,,4.3,4.1,8.3,,,,
Guyana,GUY,5.37,5.9,5.5,4.9,5.1,6.9,5.9,5.9,3.4,5.1,5.1
"Hong Kong SAR, China",HKG,4.50,3.7,2.7,7.3,6.9,1.8,6.7,,4.8,3.3,3.3
Honduras,HND,6.90,6.6,7.3,7.2,5.9,6.5,6.4,6.1,5.6,8.7,8.7
Croatia,HRV,3.36,3.1,3.4,3.9,4.1,3.4,4,2.8,2.9,3,3
Haiti,HTI,7.31,7,8.5,7.9,5.9,8.2,8,7,6.6,7,7
Hungary,HUN,4.02,3,4.1,5.3,3.9,3.9,3.6,3,6,3.7,3.7
Indonesia,IDN,5.93,5.7,5,6.5,4.8,5.2,6.2,6.7,6.2,6.5,6.5
Isle of Man,IMN,4.56,3.3,,,3.5,8.7,4.1,4.1,,4.1,4.1
India,IND,7.04,6.6,4.9,8.2,6.3,6.4,6.7,8.2,7.9,7.6,7.6
Ireland,IRL,3.19,2.9,2.6,2.7,3.5,3.5,4,2.9,4,2.9,2.9
"Iran, Islamic Rep.",IRN,7.53,7.3,7.7,9,6.1,6.5,5.8,8.5,8.4,8,8
Iraq,IRQ,7.96,8.3,8.3,9.5,6.4,7.9,7,8.3,7.3,8.3,8.3
Iceland,ISL,2.39,2,2,2.6,3.1,3.4,2.4,2.3,1.7,2.2,2.2
